Year,Total Revenues,Tax Revenues,Income Tax,Property Taxes,Value Added Taxes,Taxes on International Trade,Other Taxes,Non-Tax Revenue,Grants,From Foreign Governments,From International Organizations,Other,Other Revenues,Property Income,Proceeds from Sales of Goods and Services,"Fines, Penalties and Forfeits",Voluntary Transfers,Miscellaneous Revenues,Total Expenditures,Compensation of Employees,Purchases of Goods and Services,Interest Payments,"Subsidies, Grants and Social benefits",Other Expenditures,Purchases of Non-Financial assets,Total Cash Balance,Net Acquisition of Financial assets,Overall Fiscal Balance,Overall Balance GDP (%),Primary Balance / GDP (%),Revenues/ GDP (%),Expenditure/ GDP (%)
2014/15,465241.0,305957.0,129818.0,21107.0,122930.0,21867.0,10235.0,159284.0,25437.0,24942.0,302.0,194.0,133847.0,81463.0,26457.0,842.0,901.0,24184.0,733350.0,198468.0,31276.0,193008.0,198569.0,50279.0,61750.0,-268109.0,11321.0,-279430.0,-11.4,-3.5,19.0,30.0
2015/16,491488.0,352315.0,144743.0,27990.0,140525.0,28091.0,10966.0,139173.0,3543.0,3236.0,169.0,137.0,135630.0,69452.0,29052.0,1381.0,1455.0,34290.0,817844.0,213721.0,35662.0,243635.0,201024.0,54551.0,69250.0,-326356.0,13139.0,-339495.0,-12.5,-3.5,18.1,30.2
2016/17,659184.0,462007.0,166897.0,36539.0,208624.0,34255.0,15691.0,197177.0,17683.0,17040.0,354.0,289.0,179494.0,91141.0,38058.0,1968.0,2956.0,45371.0,1031941.0,225513.0,42450.0,316602.0,276719.0,61517.0,109141.0,-372757.0,6833.0,-379590.0,-10.2,-1.7,19.0,29.7
2017/18,821134.0,629302.0,207230.0,51410.0,294257.0,37908.0,38497.0,191833.0,3194.0,1006.0,908.0,1280.0,188639.0,69116.0,51433.0,1012.0,2143.0,64935.0,1244408.0,240054.0,53088.0,437448.0,329379.0,74758.0,109680.0,-423274.0,9306.0,-432580.0,-9.1,0.1,17.2,26.1
2018/19,941910.0,736121.0,250080.0,58907.0,350576.0,42020.0,34538.0,205790.0,2609.0,1100.0,747.0,761.0,203181.0,70354.0,53565.0,1527.0,2316.0,75419.0,1369870.0,266091.0,62365.0,533045.0,287461.0,77565.0,143342.0,-427960.0,1991.0,-429951.0,-7.5,1.8,16.5,23.9
2019/20,975429.0,739632.0,286907.0,59596.0,329979.0,32572.0,30579.0,235796.0,5263.0,1007.0,798.0,3457.0,230534.0,65519.0,58809.0,2081.0,2262.0,101863.0,1434723.0,288773.0,69871.0,568421.0,229214.0,86803.0,191642.0,-459294.0,3481.0,-462775.0,-7.4,1.7,15.5,22.8
2020/21,1108625.0,833993.0,321246.0,72404.0,384913.0,36130.0,19300.0,274633.0,2955.0,819.0,824.0,1313.0,271678.0,79669.0,57730.0,1701.0,5958.0,126619.0,1578774.0,318806.0,81462.0,565497.0,263886.0,99751.0,249372.0,-470149.0,2196.0,-472345.0,-6.8,1.3,16.0,22.8
2021/22,1347178.0,991403.0,386393.0,90221.0,454211.0,42956.0,17621.0,355775.0,4081.0,348.0,2205.0,1528.0,351694.0,93120.0,77814.0,2008.0,7882.0,170870.0,1831022.0,358735.0,99580.0,584826.0,343405.0,114746.0,329730.0,-483844.0,570.0,-484414.0,-6.1,1.3,17.0,23.1
2022/23,1563921.0,1258582.0,516286.0,125157.0,555556.0,59390.0,2193.0,305339.0,5432.0,363.0,2365.0,2704.0,299907.0,86939.0,94706.0,2634.0,10299.0,105329.0,2184594.0,412463.0,127780.0,774203.0,454101.0,127060.0,288987.0,-620672.0,10772.0,-609901.0,-6.04,1.63,15.5,21.6
2023/24,2142110.0,1529991.0,594447.0,173652.0,664678.0,58215.0,39000.0,612119.0,1930.9,405.5,770.9,754.5,610188.0,115177.0,96586.0,2477.0,1563.0,394385.0,2990925.0,470000.0,139381.0,1120086.0,529685.0,145083.0,586690.0,-848814.0,-24375.0,-824440.0,-7.0,2.5,18.1,25.3
2024/25,2625168.0,2021991.0,782188.0,232731.0,828077.0,99245.0,79751.0,603177.0,3584.5,1327.2,1524.4,732.9,599593.0,164794.0,114682.0,2560.0,1145.0,316412.0,3870168.0,575000.0,166705.0,1834468.0,635943.0,162238.0,495815.0,-1245000.0,-1977.0,-1243022.0,-7.3,3.5,15.4,22.6
